head_scheme,promotion_policy,promotion_target,observations,actual_promotion_rate,net_qk_reduction_mean,net_qk_reduction_median,candidate_fraction_mean,top128_recall,top512_recall,top2048_recall,index_mass_ratio_mean,newly_active_token_recall,newly_active_block_recall,physical_key_byte_reduction_median,output_relative_l2_p95,output_cosine_p5,attention_kl_mean
dynamic_abs_w,validation_fixed_threshold,0.1,18288,0.2935971497616215,0.1589127318938647,0.1398273473626906,0.8093468016078282,0.9999803491360456,0.9997022466918196,0.9958754545330272,0.9996163244962764,0.5491543726013804,0.5228925122353372,-0.000244140625,0.0261291960254311,0.999662172794342,0.0159477748311047
dynamic_abs_w,validation_fixed_threshold,0.1,18288,0.2935971497616215,0.1589127318938647,0.1398273473626906,0.8093468016078282,0.9999803491360456,0.9997022466918196,0.9958754545330272,0.9996163244962764,0.5491543726013804,0.5228925122353372,-0.000244140625,0.0179017102345824,0.9998441636562349,0.0097609633375956
fixed_avg_abs_w,validation_fixed_threshold,0.1,18288,0.4149077748610485,0.1291060198133435,0.1048359065370172,0.8399777930096668,0.9999837666776028,0.9997817045330272,0.996908940459591,0.9997492866026844,0.6282125802442573,0.6163955550234052,-0.000244140625,0.0242441650480031,0.9997101485729216,0.0144959697726144
fixed_transition_aware,validation_fixed_threshold,0.1,18288,0.4285225069384296,0.1253025851645568,0.1016158052241591,0.8440522225016123,0.9999914561461068,0.9998495213733049,0.99730585587202,0.999807842863469,0.6625905751669392,0.653162383039204,-0.000244140625,0.0194329276680946,0.9998159408569336,0.0106378810243387
fixed_tail_aware,validation_fixed_threshold,0.1,18288,0.4285225069384296,0.1253025851645568,0.1016158052241591,0.8440522225016123,0.9999914561461068,0.9998495213733049,0.99730585587202,0.999807842863469,0.6625905751669392,0.653162383039204,-0.000244140625,0.0194329276680946,0.9998159408569336,0.0106378810243387
fixed_random_seed0,validation_fixed_threshold,0.1,18288,0.2791334209115939,0.1634042594963714,0.1407310686870481,0.8037445267106219,0.999807336094707,0.999025039472605,0.993329866664616,0.9990688155800128,0.3778170724114314,0.3585357990946364,-0.000244140625,0.0399882236495613,0.9992232531309128,0.026672580783973
fixed_random_seed1,validation_fixed_threshold,0.1,18288,0.2854654991531032,0.1648768231208395,0.1447072625095928,0.8019722604167313,0.9997154896653544,0.9988417738065944,0.9931199014551892,0.9990714516099778,0.3789950596457404,0.3636219801083798,-0.000244140625,0.0471670886501668,0.9989157855510712,0.034223345359304
fixed_random_seed2,validation_fixed_threshold,0.1,18288,0.2624442947795626,0.174419926803102,0.1555704590306026,0.7917465744080449,0.9997774326060804,0.998820841364556,0.9923189418522392,0.9990083518432352,0.3465387690574403,0.3274178868140956,-0.000244140625,0.0442305080592632,0.9990474998950958,0.033517973718548
fixed_random_seed3,validation_fixed_threshold,0.1,18288,0.2693196290595813,0.169142427715004,0.1491122444808014,0.7976390837305516,0.9998124624070428,0.9990068837830818,0.9930354774989064,0.9990762582529906,0.3701544865820266,0.3529240218279831,-0.000244140625,0.0345856059342622,0.9994136214256286,0.0254855744106375
fixed_random_seed4,validation_fixed_threshold,0.1,18288,0.3343990416134534,0.1475735496439293,0.1275254574750687,0.8205951722032535,0.99991114391951,0.999409512897802,0.9952966618308452,0.999434422913635,0.4954921413187921,0.4728707173721611,-0.000244140625,0.0329849245026706,0.9994651496410368,0.0224561541659242
